year,weight,gender,race1r,hispanic,ethnic1r,ager,marital2,hincome,popsize,region,msa,direl,notify,weapon,weapcat,newcrime,newoff,seriousviolent,injury,treatment,vicservices,locationr
2014,5865.87421,1,1,2,1,7,4,1,4,4,1,3,2,2,0,1,3,1,1,2,2,2
2014,5091.44483,2,1,1,4,4,1,88,1,4,2,4,1,1,3,1,3,1,1,2,2,3
2014,3892.71552,2,3,2,3,5,2,7,4,4,1,5,2,2,0,1,4,2,0,0,2,3
2014,1952.02221,1,1,1,4,6,1,1,5,4,1,4,1,1,1,1,3,1,0,0,2,1
2014,1952.02221,1,1,1,4,6,1,1,5,4,1,4,1,1,1,1,3,1,0,0,2,1
2014,1952.02221,1,1,1,4,6,1,1,5,4,1,4,1,1,1,1,3,1,0,0,2,1
2014,2217.30396,1,1,2,1,4,1,7,1,4,2,1,1,2,0,1,2,1,0,0,2,1
2014,1768.12536,2,1,1,4,6,2,3,1,4,2,5,2,2,0,1,4,2,0,0,2,3
2014,2581.83499,1,1,2,1,1,1,6,0,1,2,4,1,2,0,1,2,1,0,0,2,1
2014,2737.8579,2,1,2,1,4,1,7,0,1,2,1,2,2,0,1,4,2,0,0,2,3
2014,2359.2664,1,1,2,1,6,4,7,4,4,1,4,2,2,0,1,4,2,0,0,2,1
2014,1527.09256,1,1,2,1,7,2,7,1,4,2,4,2,3,5,1,4,2,0,0,2,3
2014,1752.71512,1,1,2,1,7,4,7,2,4,2,4,1,2,0,1,4,2,0,0,2,3
2014,2804.47315,2,1,1,4,3,1,4,5,4,1,5,2,2,0,1,4,2,0,0,2,3
2014,1459.66957,1,1,2,1,7,1,2,4,4,1,4,2,3,5,1,4,2,0,0,2,3
2014,1512.99554,2,1,2,1,6,2,7,4,4,1,3,1,1,2,1,3,1,0,0,1,1
2014,2689.08001,2,1,2,1,4,1,7,4,4,1,1,1,1,2,1,3,1,0,0,2,1
2014,3481.00287,2,1,1,4,4,1,4,0,4,2,1,2,1,4,1,3,1,0,0,2,1
2014,2878.71164,1,1,1,4,7,2,88,3,4,1,4,2,2,0,1,4,2,0,0,2,1
2014,4246.77654,2,1,1,4,6,4,6,1,4,1,3,2,2,0,1,4,2,0,0,2,5
2014,3406.81548,1,1,2,1,6,2,7,2,4,2,4,2,2,0,1,4,2,0,0,2,5
2014,3769.26294,1,3,2,3,1,1,6,1,4,2,4,2,1,3,1,3,1,0,0,2,2
2014,5729.45686,1,1,2,1,4,1,7,2,4,1,4,2,1,3,1,3,1,0,0,2,3
2014,2840.60154,1,1,2,1,7,2,7,3,4,1,4,1,1,1,1,2,1,0,0,2,1
2014,2751.5431,2,1,2,1,7,2,7,3,4,1,4,2,2,0,1,4,2,0,0,2,3
2014,33632.9469,2,1,2,1,7,2,6,1,3,1,3,2,2,0,1,2,1,0,0,2,4
2014,1689.35307,2,1,2,1,7,5,5,0,3,2,1,2,1,2,1,3,1,0,0,2,1
2014,1732.74494,2,1,1,4,6,2,88,5,4,1,3,1,1,2,1,3,1,0,0,2,1
2014,1732.74494,2,1,1,4,6,2,88,5,4,1,3,8,1,2,1,3,1,0,0,,1
2014,2267.32324,2,1,1,4,1,1,5,1,4,2,5,2,2,0,1,1,1,0,0,2,4
2014,1586.83429,2,1,2,1,6,4,6,1,4,2,3,2,1,2,1,2,1,0,0,2,1
2014,1586.83429,2,1,2,1,6,4,6,1,4,2,3,2,1,3,1,2,1,1,1,2,3
2014,1963.88155,2,3,2,3,6,2,88,1,4,2,3,2,2,0,1,4,2,0,0,2,1
2014,1751.54886,1,1,2,1,6,1,4,0,2,2,6,1,2,0,1,4,2,1,1,2,3
2014,1590.2914,1,1,2,1,5,2,4,2,3,1,4,1,2,0,1,4,2,0,0,2,3
2014,2139.10309,2,1,2,1,3,1,2,4,2,1,4,2,1,3,1,3,1,1,2,2,2
2014,2057.11048,1,1,2,1,2,1,5,1,4,3,3,2,2,0,1,4,2,0,0,2,3
2014,2057.11048,1,1,2,1,2,1,5,1,4,3,3,2,2,0,1,4,2,0,0,2,4
2014,2057.11048,1,1,2,1,2,1,5,1,4,3,3,2,2,0,1,4,2,1,2,2,3
2014,1446.95591,2,1,2,1,7,1,6,1,4,3,3,1,1,3,1,3,1,0,0,2,5
2014,6736.62758,1,1,2,1,4,1,88,2,4,1,3,2,2,0,1,2,1,0,0,2,1
2014,4231.85279,2,1,2,1,4,1,5,0,3,2,4,1,1,1,1,2,1,0,0,2,1
2014,4520.54406,2,1,2,1,3,1,5,0,3,2,4,1,1,1,1,2,1,0,0,2,1
2014,5243.62585,1,1,2,1,5,1,7,5,1,1,3,2,2,0,1,4,2,1,2,2,2
2014,3820.55698,1,2,2,2,6,5,5,5,1,1,4,1,1,3,1,2,1,0,0,2,1
2014,3753.88984,2,1,2,1,4,2,3,1,2,3,3,1,2,0,1,4,2,0,0,2,1
2014,22583.69964,1,1,2,1,7,2,7,0,1,2,3,2,2,0,1,4,2,1,2,2,5
2014,24558.55432,2,1,2,1,7,2,7,0,1,2,3,2,2,0,1,4,2,1,2,2,5
2014,2718.39936,1,1,2,1,7,2,7,1,3,2,4,2,2,0,1,4,2,0,0,2,3
2014,2770.91776,1,1,2,1,6,2,88,0,3,3,4,1,1,1,1,3,1,0,0,2,5
2014,3853.60108,2,2,2,2,6,4,2,2,2,1,4,1,2,0,1,2,1,1,2,2,3
2014,2063.09273,1,1,1,4,2,1,5,5,2,1,5,1,1,1,1,3,1,0,0,2,3
2014,2238.85187,1,2,2,2,1,1,88,0,3,2,3,2,2,0,1,4,2,0,0,2,1
2014,1056.37251,2,1,2,1,8,2,88,1,2,2,3,2,2,0,1,4,2,0,0,2,3
2014,1056.37251,2,1,2,1,8,2,88,1,2,2,3,2,2,0,1,4,2,0,0,2,3
2014,3065.60536,2,1,2,1,5,2,88,1,2,1,3,1,2,0,1,4,2,0,0,,1
2014,1313.96652,2,1,1,4,7,1,1,5,2,1,4,2,2,0,1,4,2,0,0,2,3
2014,2650.24153,2,1,1,4,6,4,88,0,3,3,4,1,1,2,1,3,1,0,0,2,1
2014,1560.66007,2,1,2,1,6,5,5,1,1,3,1,1,2,0,1,4,2,1,2,1,1
2014,2656.79722,2,1,2,1,1,1,5,1,1,3,2,1,2,0,1,4,2,0,0,2,1
2014,2952.4964,2,1,2,1,6,1,7,2,3,1,4,1,3,5,1,4,2,0,0,2,1
2014,1183.5626,2,1,2,1,7,1,5,1,4,1,3,1,2,0,1,4,2,0,0,2,1
2014,4631.65984,1,2,2,2,5,1,88,1,3,1,4,1,1,1,1,2,1,1,2,2,1
2014,1576.48062,1,2,2,2,6,1,7,5,3,1,3,1,3,5,1,4,2,1,1,2,3
2014,2949.93168,1,1,2,1,7,2,7,1,3,2,2,1,2,0,1,4,2,1,1,1,1
2014,1821.98531,1,1,2,1,5,2,3,1,4,2,4,1,2,0,1,4,2,1,1,2,3
2014,4309.67793,1,1,2,1,5,5,88,1,3,2,5,2,1,3,1,3,1,0,0,2,1
2014,3792.0971,2,1,2,1,6,4,3,1,4,2,2,1,2,0,1,4,2,0,0,1,1
2014,2133.72271,2,1,1,4,4,1,4,5,3,1,4,2,2,0,2,5,3,0,0,2,3
