Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Anhui,Mainland China,01/22/2020,1.0,,
Beijing,Mainland China,01/22/2020,14.0,,
Chongqing,Mainland China,01/22/2020,6.0,,
Fujian,Mainland China,01/22/2020,1.0,,
Gansu,Mainland China,01/22/2020,,,
Guangdong,Mainland China,01/22/2020,26.0,,
Guangxi,Mainland China,01/22/2020,2.0,,
Guizhou,Mainland China,01/22/2020,1.0,,
Hainan,Mainland China,01/22/2020,4.0,,
Hebei,Mainland China,01/22/2020,1.0,,
Heilongjiang,Mainland China,01/22/2020,,,
Henan,Mainland China,01/22/2020,5.0,,
Hong Kong,Hong Kong,01/22/2020,,,
Hubei,Mainland China,01/22/2020,444.0,17.0,28.0
Hunan,Mainland China,01/22/2020,4.0,,
Inner Mongolia,Mainland China,01/22/2020,,,
Jiangsu,Mainland China,01/22/2020,1.0,,
Jiangxi,Mainland China,01/22/2020,2.0,,
Jilin,Mainland China,01/22/2020,,,
Liaoning,Mainland China,01/22/2020,2.0,,
Macau,Macau,01/22/2020,1.0,,
Ningxia,Mainland China,01/22/2020,1.0,,
Qinghai,Mainland China,01/22/2020,,,
Shaanxi,Mainland China,01/22/2020,,,
Shandong,Mainland China,01/22/2020,2.0,,
Shanghai,Mainland China,01/22/2020,9.0,,
Shanxi,Mainland China,01/22/2020,1.0,,
Sichuan,Mainland China,01/22/2020,5.0,,
Taiwan,Taiwan,01/22/2020,1.0,,
Tianjin,Mainland China,01/22/2020,4.0,,
Tibet,Mainland China,01/22/2020,,,
WA,US,01/22/2020,1.0,,
Xinjiang,Mainland China,01/22/2020,,,
Yunnan,Mainland China,01/22/2020,1.0,,
Zhejiang,Mainland China,01/22/2020,10.0,,
,Japan,01/22/2020,2.0,,
,Thailand,01/22/2020,2.0,,
,South Korea,01/22/2020,1.0,,
Anhui,Mainland China,01/23/2020,9.0,,
Beijing,Mainland China,01/23/2020,22.0,,
Chongqing,Mainland China,01/23/2020,9.0,,
Fujian,Mainland China,01/23/2020,5.0,,
Gansu,Mainland China,01/23/2020,2.0,,
Guangdong,Mainland China,01/23/2020,32.0,,2.0
Guangxi,Mainland China,01/23/2020,5.0,,
Guizhou,Mainland China,01/23/2020,3.0,,
Hainan,Mainland China,01/23/2020,5.0,,
Hebei,Mainland China,01/23/2020,1.0,1.0,
Heilongjiang,Mainland China,01/23/2020,2.0,,
Henan,Mainland China,01/23/2020,5.0,,
Hong Kong,Hong Kong,01/23/2020,2.0,,
Hubei,Mainland China,01/23/2020,444.0,17.0,28.0
Hunan,Mainland China,01/23/2020,9.0,,
Inner Mongolia,Mainland China,01/23/2020,,,
Jiangsu,Mainland China,01/23/2020,5.0,,
Jiangxi,Mainland China,01/23/2020,7.0,,
Jilin,Mainland China,01/23/2020,1.0,,
Liaoning,Mainland China,01/23/2020,3.0,,
Macau,Macau,01/23/2020,2.0,,
Ningxia,Mainland China,01/23/2020,1.0,,
Qinghai,Mainland China,01/23/2020,,,
Shaanxi,Mainland China,01/23/2020,3.0,,
Shandong,Mainland China,01/23/2020,6.0,,
Shanghai,Mainland China,01/23/2020,16.0,,
Shanxi,Mainland China,01/23/2020,1.0,,
Sichuan,Mainland China,01/23/2020,8.0,,
Taiwan,Taiwan,01/23/2020,1.0,,
Tianjin,Mainland China,01/23/2020,4.0,,
Tibet,Mainland China,01/23/2020,,,
WA,US,01/23/2020,1.0,,
Xinjiang,Mainland China,01/23/2020,2.0,,
Yunnan,Mainland China,01/23/2020,2.0,,
Zhejiang,Mainland China,01/23/2020,27.0,,
,Japan,01/23/2020,1.0,,
,Thailand,01/23/2020,3.0,,
,South Korea,01/23/2020,1.0,,
,Singapore,01/23/2020,1.0,,
,Philippines,01/23/2020,,,
,Malaysia,01/23/2020,,,
,Vietnam,01/23/2020,2.0,,
,Australia,01/23/2020,,,
,Mexico,01/23/2020,,,
,Brazil,01/23/2020,,,
,Colombia,01/23/2020,,,
Hubei,Mainland China,01/24/2020,549.0,24.0,31.0
Guangdong,Mainland China,01/24/2020,53.0,,2.0
Zhejiang,Mainland China,01/24/2020,43.0,,1.0
Beijing,Mainland China,01/24/2020,36.0,,1.0
Chongqing,Mainland China,01/24/2020,27.0,,
Hunan,Mainland China,01/24/2020,24.0,,
Guangxi,Mainland China,01/24/2020,23.0,,
Shanghai,Mainland China,01/24/2020,20.0,,1.0
Jiangxi,Mainland China,01/24/2020,18.0,,
Sichuan,Mainland China,01/24/2020,15.0,,
Shandong,Mainland China,01/24/2020,15.0,,
Anhui,Mainland China,01/24/2020,15.0,,
Fujian,Mainland China,01/24/2020,10.0,,
Henan,Mainland China,01/24/2020,9.0,,
Jiangsu,Mainland China,01/24/2020,9.0,,
Hainan,Mainland China,01/24/2020,8.0,,
Tianjin,Mainland China,01/24/2020,8.0,,
Yunnan,Mainland China,01/24/2020,5.0,,
Shaanxi,Mainland China,01/24/2020,5.0,,
Heilongjiang,Mainland China,01/24/2020,4.0,1.0,
Liaoning,Mainland China,01/24/2020,4.0,,
Guizhou,Mainland China,01/24/2020,3.0,,
Jilin,Mainland China,01/24/2020,3.0,,
Taiwan,Taiwan,01/24/2020,3.0,,
Ningxia,Mainland China,01/24/2020,2.0,,
Hong Kong,Hong Kong,01/24/2020,2.0,,
Macau,Macau,01/24/2020,2.0,,
Hebei,Mainland China,01/24/2020,2.0,1.0,
Gansu,Mainland China,01/24/2020,2.0,,
Xinjiang,Mainland China,01/24/2020,2.0,,
Shanxi,Mainland China,01/24/2020,1.0,,
Inner Mongolia,Mainland China,01/24/2020,1.0,,
Qinghai,Mainland China,01/24/2020,,,
WA,US,01/24/2020,1.0,,
IL,US,01/24/2020,1.0,,
,Japan,01/24/2020,2.0,,
,Thailand,01/24/2020,5.0,,
,South Korea,01/24/2020,2.0,,
,Singapore,01/24/2020,3.0,,
,Vietnam,01/24/2020,2.0,,
,France,01/24/2020,2.0,,
Hubei,Mainland China,01/25/2020,761.0,40.0,32.0
Guangdong,Mainland China,01/25/2020,78.0,,2.0
Zhejiang,Mainland China,01/25/2020,62.0,,1.0
Chongqing,Mainland China,01/25/2020,57.0,,
Hunan,Mainland China,01/25/2020,43.0,,
Beijing,Mainland China,01/25/2020,41.0,,2.0
Anhui,Mainland China,01/25/2020,39.0,,
Shanghai,Mainland China,01/25/2020,33.0,,1.0
Henan,Mainland China,01/25/2020,32.0,,
Sichuan,Mainland China,01/25/2020,28.0,,
Shandong,Mainland China,01/25/2020,27.0,,
Guangxi,Mainland China,01/25/2020,23.0,,
Hainan,Mainland China,01/25/2020,19.0,,
Jiangxi,Mainland China,01/25/2020,18.0,,
Fujian,Mainland China,01/25/2020,18.0,,
Jiangsu,Mainland China,01/25/2020,18.0,,1.0
Liaoning,Mainland China,01/25/2020,17.0,,
Shaanxi,Mainland China,01/25/2020,15.0,,
Yunnan,Mainland China,01/25/2020,11.0,,
Tianjin,Mainland China,01/25/2020,10.0,,
Heilongjiang,Mainland China,01/25/2020,9.0,1.0,
Hebei,Mainland China,01/25/2020,8.0,1.0,
Inner Mongolia,Mainland China,01/25/2020,7.0,,
Shanxi,Mainland China,01/25/2020,6.0,,
Hong Kong,Hong Kong,01/25/2020,5.0,,
Guizhou,Mainland China,01/25/2020,4.0,,
Jilin,Mainland China,01/25/2020,4.0,,
Gansu,Mainland China,01/25/2020,4.0,,
Ningxia,Mainland China,01/25/2020,3.0,,
Taiwan,Taiwan,01/25/2020,3.0,,
Xinjiang,Mainland China,01/25/2020,3.0,,
Macau,Macau,01/25/2020,2.0,,
Qinghai,Mainland China,01/25/2020,1.0,,
WA,US,01/25/2020,1.0,,
IL,US,01/25/2020,1.0,,
,Japan,01/25/2020,2.0,,
,Thailand,01/25/2020,7.0,,
,South Korea,01/25/2020,2.0,,
,Singapore,01/25/2020,3.0,,
,Vietnam,01/25/2020,2.0,,
,France,01/25/2020,3.0,,
,Australia,01/25/2020,4.0,,
,Nepal,01/25/2020,1.0,,
,Malaysia,01/25/2020,3.0,,
Hubei,Mainland China,01/26/2020,1058.0,52.0,42.0
Guangdong,Mainland China,01/26/2020,111.0,,2.0
Zhejiang,Mainland China,01/26/2020,104.0,,1.0
Henan,Mainland China,01/26/2020,83.0,1.0,
Chongqing,Mainland China,01/26/2020,75.0,,
Hunan,Mainland China,01/26/2020,69.0,,
Beijing,Mainland China,01/26/2020,68.0,,2.0
Anhui,Mainland China,01/26/2020,60.0,,
Shandong,Mainland China,01/26/2020,46.0,,
Sichuan,Mainland China,01/26/2020,44.0,,
Shanghai,Mainland China,01/26/2020,40.0,1.0,1.0
Guangxi,Mainland China,01/26/2020,36.0,,
Jiangxi,Mainland China,01/26/2020,36.0,,
Fujian,Mainland China,01/26/2020,35.0,,
Jiangsu,Mainland China,01/26/2020,33.0,,1.0
Hainan,Mainland China,01/26/2020,22.0,,
Shaanxi,Mainland China,01/26/2020,22.0,,
Liaoning,Mainland China,01/26/2020,21.0,,
Yunnan,Mainland China,01/26/2020,16.0,,
Heilongjiang,Mainland China,01/26/2020,15.0,1.0,
Tianjin,Mainland China,01/26/2020,14.0,,
