Country/Region,Last Update,Confirmed,Deaths,Recovered
China,01/22/2020,1,0,0
China,01/22/2020,14,0,0
China,01/22/2020,6,0,0
China,01/22/2020,1,0,0
China,01/22/2020,0,0,0
China,01/22/2020,26,0,0
China,01/22/2020,2,0,0
China,01/22/2020,1,0,0
China,01/22/2020,4,0,0
China,01/22/2020,1,0,0
China,01/22/2020,0,0,0
China,01/22/2020,5,0,0
China,01/22/2020,444,17,28
China,01/22/2020,4,0,0
China,01/22/2020,0,0,0
China,01/22/2020,1,0,0
China,01/22/2020,2,0,0
China,01/22/2020,0,0,0
China,01/22/2020,2,0,0
China,01/22/2020,1,0,0
China,01/22/2020,0,0,0
China,01/22/2020,0,0,0
China,01/22/2020,2,0,0
China,01/22/2020,9,0,0
China,01/22/2020,1,0,0
China,01/22/2020,5,0,0
China,01/22/2020,4,0,0
China,01/22/2020,0,0,0
US,01/22/2020,1,0,0
China,01/22/2020,0,0,0
China,01/22/2020,1,0,0
China,01/22/2020,10,0,0
South Korea,01/22/2020,1,0,0
China,01/23/2020,9,0,0
China,01/23/2020,22,0,0
China,01/23/2020,9,0,0
China,01/23/2020,5,0,0
China,01/23/2020,2,0,0
China,01/23/2020,32,0,2
China,01/23/2020,5,0,0
China,01/23/2020,3,0,0
China,01/23/2020,5,0,0
China,01/23/2020,1,1,0
China,01/23/2020,2,0,0
China,01/23/2020,5,0,0
China,01/23/2020,444,17,28
China,01/23/2020,9,0,0
China,01/23/2020,0,0,0
China,01/23/2020,5,0,0
China,01/23/2020,7,0,0
China,01/23/2020,1,0,0
China,01/23/2020,3,0,0
China,01/23/2020,1,0,0
China,01/23/2020,0,0,0
China,01/23/2020,3,0,0
China,01/23/2020,6,0,0
China,01/23/2020,16,0,0
China,01/23/2020,1,0,0
China,01/23/2020,8,0,0
China,01/23/2020,4,0,0
China,01/23/2020,0,0,0
US,01/23/2020,1,0,0
China,01/23/2020,2,0,0
China,01/23/2020,2,0,0
China,01/23/2020,27,0,0
South Korea,01/23/2020,1,0,0
Australia,01/23/2020,0,0,0
China,01/24/2020,549,24,31
China,01/24/2020,53,0,2
China,01/24/2020,43,0,1
China,01/24/2020,36,0,1
China,01/24/2020,27,0,0
China,01/24/2020,24,0,0
China,01/24/2020,23,0,0
China,01/24/2020,20,0,1
China,01/24/2020,18,0,0
China,01/24/2020,15,0,0
China,01/24/2020,15,0,0
China,01/24/2020,15,0,0
China,01/24/2020,10,0,0
China,01/24/2020,9,0,0
China,01/24/2020,9,0,0
China,01/24/2020,8,0,0
China,01/24/2020,8,0,0
China,01/24/2020,5,0,0
China,01/24/2020,5,0,0
