Location,Total
Alabama,3.125818
Alaska,2.225429
Arizona,1.934333
Arkansas,3.162075
California,1.837508
Colorado,1.857928
Connecticut,2.014268
Delaware,2.176122
District of Columbia,4.438762
Florida,2.576877
Georgia,2.389277
Hawaii,1.935107
Idaho,1.939977
Illinois,2.520303
Indiana,2.711673
Iowa,2.992742
Kansas,3.317695
Kentucky,3.21195
Louisiana,3.277471
Maine,2.5391
Maryland,1.918055
Massachusetts,2.273693
Michigan,2.49888
Minnesota,2.478484
Mississippi,4.049285
Missouri,3.06275
Montana,3.339414
Nebraska,3.553152
Nevada,2.144786
New Hampshire,2.056204
New Jersey,2.35212
New Mexico,1.821057
New York,2.658785
North Carolina,2.075689
North Dakota,4.26736
Ohio,2.839674
Oklahoma,2.828258
Oregon,1.647343
Pennsylvania,2.869325
Rhode Island,2.066547
South Carolina,2.383876
South Dakota,4.760452
Tennessee,2.862973
Texas,2.29389
Utah,1.828733
Vermont,2.090147
Virginia,2.124973
Washington,1.697797
West Virginia,3.806481
Wisconsin,2.084063
Wyoming,3.488567
