Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Mainland China,2020-03-01T10:13:19,66907,2761,31536,30.9756,112.2707
South Korea,2020-03-01T23:43:03,3736,17,30,36.0,128.0
Italy,2020-03-01T23:23:02,1694,34,83,43.0,12.0
Mainland China,2020-03-01T14:13:18,1349,7,1016,23.3417,113.4244
Mainland China,2020-03-01T14:13:18,1272,22,1198,33.882,113.61399999999999
Mainland China,2020-03-01T10:13:33,1205,1,1046,29.1832,120.0934
Mainland China,2020-03-01T10:03:03,1018,4,866,27.6104,111.7088
Mainland China,2020-03-01T10:03:03,990,6,873,31.8257,117.2264
Iran,2020-03-01T15:33:03,978,54,175,32.0,53.0
Mainland China,2020-03-01T01:13:10,935,1,831,27.614,115.7221
Mainland China,2020-03-01T11:33:03,758,6,443,36.3427,118.1498
Mainland China,2020-03-01T10:03:03,631,0,536,32.9711,119.455
Mainland China,2020-03-01T23:13:08,576,6,450,30.0572,107.874
Mainland China,2020-03-01T11:43:02,538,3,365,30.6171,102.7103
Mainland China,2020-03-01T11:33:03,480,13,342,47.861999999999995,127.7615
Mainland China,2020-03-01T02:53:03,413,8,276,40.1824,116.4142
Mainland China,2020-03-01T07:13:07,337,3,290,31.201999999999998,121.4491
Mainland China,2020-03-01T14:13:18,318,6,294,38.0428,114.5149
Mainland China,2020-03-01T09:43:03,296,1,247,26.0789,117.9874
Mainland China,2020-03-01T09:43:03,252,2,181,23.8298,108.7881
Mainland China,2020-03-01T09:43:03,245,1,208,35.1917,108.8701
Mainland China,2020-03-01T07:13:07,174,2,163,24.974,101.48700000000001
Mainland China,2020-03-01T10:13:38,168,5,149,19.1959,109.7453
Mainland China,2020-02-27T00:43:02,146,2,112,26.8154,106.8748
Mainland China,2020-03-01T12:43:02,136,3,111,39.3054,117.323
Mainland China,2020-03-01T23:13:08,133,0,116,37.5777,112.2922
Mainland China,2020-03-01T12:23:06,122,1,103,41.2956,122.6085
Singapore,2020-03-01T23:23:02,106,0,72,1.2833,103.8333
Mainland China,2020-03-01T09:43:03,93,1,78,43.6661,126.1923
Mainland China,2020-03-01T14:33:17,91,2,84,36.0611,103.8343
Mainland China,2020-03-01T10:03:03,76,3,64,41.1129,85.2401
Mainland China,2020-03-01T10:03:03,75,0,52,44.0935,113.9448
Mainland China,2020-02-29T05:53:02,73,0,69,37.2692,106.1655
US,2020-02-28T20:03:03,44,0,0,35.4437,139.638
UK,2020-03-01T23:23:02,36,0,8,55.0,-3.0
Mainland China,2020-02-21T04:43:02,18,0,18,35.7452,95.9956
US,2020-03-01T21:13:12,9,1,1,47.6062,-122.3321
India,2020-02-16T07:43:02,3,0,3,21.0,78.0
US,2020-03-01T03:53:02,3,0,2,41.8781,-87.6298
US,2020-02-29T01:33:03,3,0,1,37.3541,-121.9552
US,2020-02-27T20:33:02,2,0,0,38.4747,-121.3542
US,2020-02-03T03:53:02,2,0,0,36.5761,-120.9876
US,2020-02-21T05:43:02,2,0,1,32.7157,-117.1611
US,2020-03-01T20:23:06,2,0,0,48.033,-121.8339
Mainland China,2020-02-12T06:43:02,1,0,1,31.6927,88.0924
New Zealand,2020-02-28T16:23:03,1,0,0,-40.9006,174.886
US,2020-02-28T21:13:12,1,0,1,42.3601,-71.0589
US,2020-02-21T05:13:09,1,0,0,40.745,-123.8695
US,2020-02-01T19:53:03,1,0,0,34.0522,-118.2437
US,2020-02-05T21:53:02,1,0,0,43.0731,-89.4012
US,2020-02-01T19:53:03,1,0,0,33.7879,-117.8531
US,2020-02-29T02:23:11,1,0,0,45.5051,-122.675
US,2020-03-01T15:33:03,1,0,0,41.824,-71.4128
US,2020-02-13T18:53:02,1,0,0,29.4241,-98.4936
US,2020-02-25T21:23:03,1,0,1,33.4255,-111.94
US,2020-02-24T23:33:02,0,0,0,29.3829,-98.6134
US,2020-02-24T23:33:02,0,0,0,41.2545,-95.9758
US,2020-02-24T23:33:02,0,0,0,38.2721,-121.9399
Mainland China,2020-03-02T15:03:23,67103,2803,33934,30.9756,112.2707
South Korea,2020-03-02T20:23:16,4335,28,30,36.0,128.0
Italy,2020-03-02T20:23:16,2036,52,149,43.0,12.0
Iran,2020-03-02T20:23:16,1501,66,291,32.0,53.0
Mainland China,2020-03-02T15:03:23,1350,7,1059,23.3417,113.4244
Mainland China,2020-03-02T11:43:03,1272,22,1205,33.882,113.61399999999999
Mainland China,2020-03-02T11:43:03,1206,1,1069,29.1832,120.0934
Mainland China,2020-03-02T11:43:03,1018,4,887,27.6104,111.7088
Mainland China,2020-03-02T15:03:23,990,6,917,31.8257,117.2264
Mainland China,2020-03-02T01:33:02,935,1,850,27.614,115.7221
Mainland China,2020-03-02T08:03:12,758,6,460,36.3427,118.1498
Mainland China,2020-03-02T12:53:02,631,0,543,32.9711,119.455
Mainland China,2020-03-02T23:23:02,576,6,469,30.0572,107.874
Mainland China,2020-03-02T15:03:23,538,3,386,30.6171,102.7103
Mainland China,2020-03-02T12:53:02,480,13,356,47.861999999999995,127.7615
Mainland China,2020-03-02T02:13:16,414,8,282,40.1824,116.4142
Mainland China,2020-03-02T04:03:13,337,3,292,31.201999999999998,121.4491
Mainland China,2020-03-02T09:43:05,318,6,296,38.0428,114.5149
Mainland China,2020-03-02T12:53:02,296,1,255,26.0789,117.9874
Mainland China,2020-03-02T12:53:02,252,2,192,23.8298,108.7881
Mainland China,2020-03-02T08:03:12,245,1,216,35.1917,108.8701
Mainland China,2020-03-02T06:23:04,174,2,168,24.974,101.48700000000001
Mainland China,2020-03-02T02:03:18,168,5,151,19.1959,109.7453
Mainland China,2020-03-02T01:13:06,146,2,114,26.8154,106.8748
Mainland China,2020-03-01T12:43:02,136,3,111,39.3054,117.323
Mainland China,2020-03-02T23:23:02,133,0,119,37.5777,112.2922
Mainland China,2020-03-01T12:23:06,122,1,103,41.2956,122.6085
Singapore,2020-03-02T20:33:02,108,0,78,1.2833,103.8333
Mainland China,2020-03-02T15:03:23,93,1,83,43.6661,126.1923
Mainland China,2020-03-02T15:03:23,91,2,85,36.0611,103.8343
Mainland China,2020-03-02T15:43:31,76,3,66,41.1129,85.2401
Mainland China,2020-03-02T10:23:04,75,0,54,44.0935,113.9448
Mainland China,2020-03-02T01:33:02,74,0,69,37.2692,106.1655
US,2020-03-02T19:53:03,45,0,0,35.4437,139.638
UK,2020-03-02T20:33:02,40,0,8,55.0,-3.0
Mainland China,2020-02-21T04:43:02,18,0,18,35.7452,95.9956
US,2020-03-02T20:23:16,14,5,1,47.548,-121.9836
US,2020-03-02T20:33:02,9,0,1,37.3541,-121.9552
India,2020-03-02T22:33:09,5,0,3,21.0,78.0
US,2020-03-02T20:33:02,4,0,2,41.7377,-87.6976
US,2020-03-02T20:53:02,4,1,0,48.033,-121.8339
US,2020-03-02T03:33:08,2,0,0,45.5051,-122.675
US,2020-03-02T03:43:02,2,0,0,41.824,-71.4128
US,2020-02-27T20:33:02,2,0,0,38.4747,-121.3542
US,2020-02-03T03:53:02,2,0,0,36.5761,-120.9876
US,2020-02-21T05:43:02,2,0,1,32.7157,-117.1611
Mainland China,2020-02-12T06:43:02,1,0,1,31.6927,88.0924
New Zealand,2020-02-28T16:23:03,1,0,0,-40.9006,174.886
US,2020-02-28T21:13:12,1,0,1,42.3601,-71.0589
US,2020-03-02T20:33:02,1,0,0,43.9088,-71.82600000000001
US,2020-03-02T03:13:25,1,0,0,27.9904,-82.3018
US,2020-02-21T05:13:09,1,0,0,40.745,-123.8695
US,2020-02-01T19:53:03,1,0,0,34.0522,-118.2437
US,2020-02-05T21:53:02,1,0,0,43.0731,-89.4012
US,2020-03-02T01:53:03,1,0,0,40.7128,-74.006
US,2020-02-01T19:53:03,1,0,0,33.7879,-117.8531
US,2020-03-02T23:53:02,1,0,0,39.0916,-120.8039
US,2020-02-13T18:53:02,1,0,0,29.4241,-98.4936
US,2020-03-02T20:43:02,1,0,0,37.563,-122.3255
US,2020-03-02T03:23:06,1,0,0,27.3364,-82.5307
US,2020-03-02T20:53:02,1,0,0,38.578,-122.9888
US,2020-02-25T21:23:03,1,0,1,33.4255,-111.94
US,2020-03-02T20:23:16,1,0,0,45.775,-118.7606
US,2020-02-24T23:33:02,0,0,0,29.3829,-98.6134
US,2020-02-24T23:33:02,0,0,0,41.2545,-95.9758
US,2020-02-24T23:33:02,0,0,0,38.2721,-121.9399
Mainland China,2020-03-03T11:43:02,67217,2835,36208,30.9756,112.2707
South Korea,2020-03-03T09:43:02,5186,28,30,36.0,128.0
Italy,2020-03-03T20:03:06,2502,79,160,43.0,12.0
Iran,2020-03-03T14:23:03,2336,77,291,32.0,53.0
Mainland China,2020-03-03T10:23:10,1350,7,1101,23.3417,113.4244
Mainland China,2020-03-03T09:43:02,1272,22,1231,33.882,113.61399999999999
Mainland China,2020-03-03T12:33:02,1213,1,1093,29.1832,120.0934
Mainland China,2020-03-03T13:03:04,1018,4,906,27.6104,111.7088
Mainland China,2020-03-03T14:33:03,990,6,936,31.8257,117.2264
Mainland China,2020-03-03T02:03:11,935,1,870,27.614,115.7221
Mainland China,2020-03-03T07:53:03,758,6,511,36.3427,118.1498
Mainland China,2020-03-03T11:03:09,631,0,562,32.9711,119.455
Mainland China,2020-03-03T23:13:05,576,6,490,30.0572,107.874
Mainland China,2020-03-03T09:33:02,538,3,394,30.6171,102.7103
Mainland China,2020-03-03T13:03:04,480,13,366,47.861999999999995,127.7615
Mainland China,2020-03-03T02:03:11,414,8,288,40.1824,116.4142
Mainland China,2020-03-03T03:43:02,338,3,294,31.201999999999998,121.4491
Mainland China,2020-03-03T09:33:02,318,6,300,38.0428,114.5149
Mainland China,2020-03-03T13:43:03,296,1,260,26.0789,117.9874
Mainland China,2020-03-03T00:23:14,252,2,202,23.8298,108.7881
Mainland China,2020-03-02T08:03:12,245,1,216,35.1917,108.8701
Mainland China,2020-03-03T03:43:02,174,2,169,24.974,101.48700000000001
Mainland China,2020-03-03T23:43:02,168,5,155,19.1959,109.7453
Mainland China,2020-03-02T01:13:06,146,2,114,26.8154,106.8748
Mainland China,2020-03-03T11:43:02,136,3,124,39.3054,117.323
Mainland China,2020-03-03T23:13:05,133,0,124,37.5777,112.2922
Mainland China,2020-03-03T14:33:03,125,1,106,41.2956,122.6085
Singapore,2020-03-03T15:23:03,110,0,78,1.2833,103.8333
Mainland China,2020-03-02T15:03:23,93,1,83,43.6661,126.1923
Mainland China,2020-03-03T13:43:03,91,2,86,36.0611,103.8343
Mainland China,2020-03-03T07:33:03,76,3,68,41.1129,85.2401
Mainland China,2020-03-03T09:23:02,75,1,59,44.0935,113.9448
Mainland China,2020-03-02T01:33:02,74,0,69,37.2692,106.1655
UK,2020-03-03T15:13:26,51,0,8,55.0,-3.0
US,2020-03-02T19:53:03,45,0,0,35.4437,139.638
US,2020-03-03T20:23:05,21,6,1,47.548,-121.9836
Mainland China,2020-02-21T04:43:02,18,0,18,35.7452,95.9956
US,2020-03-03T23:33:03,11,0,1,37.3541,-121.9552
US,2020-03-03T20:23:05,6,1,0,48.033,-121.8339
India,2020-03-02T22:33:09,5,0,3,21.0,78.0
US,2020-03-02T20:33:02,4,0,2,41.7377,-87.6976
US,2020-03-03T03:33:02,2,0,0,33.8034,-84.3963
US,2020-03-03T23:33:03,2,0,0,43.9088,-71.82600000000001
US,2020-03-03T18:33:02,2,0,0,27.9904,-82.3018
US,2020-03-02T03:43:02,2,0,0,41.824,-71.4128
US,2020-02-27T20:33:02,2,0,0,38.4747,-121.3542
US,2020-02-03T03:53:02,2,0,0,36.5761,-120.9876
US,2020-02-21T05:43:02,2,0,1,32.7157,-117.1611
US,2020-03-03T00:43:02,2,0,0,37.563,-122.3255
US,2020-03-03T03:03:02,2,0,0,45.547,-123.1386
Mainland China,2020-02-12T06:43:02,1,0,1,31.6927,88.0924
New Zealand,2020-02-28T16:23:03,1,0,0,-40.9006,174.886
US,2020-03-03T14:33:03,1,0,0,42.1767,-71.1449
US,2020-03-03T23:53:03,1,0,0,37.8715,-122.273
US,2020-02-28T21:13:12,1,0,1,42.3601,-71.0589
US,2020-02-21T05:13:09,1,0,0,40.745,-123.8695
US,2020-02-01T19:53:03,1,0,0,34.0522,-118.2437
US,2020-03-03T15:53:03,1,0,1,43.0731,-89.4012
US,2020-03-03T17:33:02,1,0,0,33.2918,-112.4291
US,2020-03-02T01:53:03,1,0,0,40.7128,-74.006
US,2020-02-01T19:53:03,1,0,0,33.7879,-117.8531
US,2020-03-02T23:53:02,1,0,0,39.0916,-120.8039
US,2020-02-13T18:53:02,1,0,0,29.4241,-98.4936
US,2020-03-02T03:23:06,1,0,0,27.3364,-82.5307
US,2020-03-02T20:53:02,1,0,0,38.578,-122.9888
US,2020-02-25T21:23:03,1,0,1,33.4255,-111.94
US,2020-03-02T20:23:16,1,0,0,45.775,-118.7606
US,2020-03-03T20:53:02,1,0,0,35.8032,-78.5661
US,2020-03-03T14:43:03,1,0,0,41.122,-73.7949
US,2020-02-24T23:33:02,0,0,0,29.3829,-98.6134
US,2020-02-24T23:33:02,0,0,0,41.2545,-95.9758
US,2020-02-24T23:33:02,0,0,0,38.2721,-121.9399
Mainland China,2020-03-04T12:53:03,67332,2871,38557,30.9756,112.2707
South Korea,2020-03-04T19:23:03,5621,35,41,36.0,128.0
Italy,2020-03-04T19:23:03,3089,107,276,43.0,12.0
Iran,2020-03-04T12:33:03,2922,92,552,32.0,53.0
Mainland China,2020-03-04T10:03:19,1350,7,1133,23.3417,113.4244
Mainland China,2020-03-04T00:33:05,1272,22,1234,33.882,113.61399999999999
Mainland China,2020-03-04T10:03:19,1213,1,1114,29.1832,120.0934
Mainland China,2020-03-04T15:43:02,1018,4,916,27.6104,111.7088
Mainland China,2020-03-04T10:03:19,990,6,956,31.8257,117.2264
