Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
WA,US,3/1/20,9,1,1,47.6062,-122.3321
IL,US,3/1/20,3,0,2,41.8781,-87.6298
WA,US,3/1/20,2,0,0,48.033,-121.8339
RI,US,3/1/20,1,0,0,41.824,-71.4128
s),US,3/2/20,45,0,0,35.4437,139.638
WA,US,3/2/20,14,5,1,47.548,-121.9836
CA,US,3/2/20,9,0,1,37.3541,-121.9552
IL,US,3/2/20,4,0,2,41.7377,-87.6976
WA,US,3/2/20,4,1,0,48.033,-121.8339
OR,US,3/2/20,2,0,0,45.5051,-122.675
RI,US,3/2/20,2,0,0,41.824,-71.4128
NH,US,3/2/20,1,0,0,43.9088,-71.82600000000002
FL,US,3/2/20,1,0,0,27.9904,-82.3018
NY,US,3/2/20,1,0,0,40.7128,-74.006
CA,US,3/2/20,1,0,0,39.0916,-120.8039
CA,US,3/2/20,1,0,0,37.563,-122.3255
FL,US,3/2/20,1,0,0,27.3364,-82.5307
CA,US,3/2/20,1,0,0,38.578,-122.9888
OR,US,3/2/20,1,0,0,45.775,-118.7606
WA,US,3/3/20,21,6,1,47.548,-121.9836
CA,US,3/3/20,11,0,1,37.3541,-121.9552
WA,US,3/3/20,6,1,0,48.033,-121.8339
GA,US,3/3/20,2,0,0,33.8034,-84.3963
NH,US,3/3/20,2,0,0,43.9088,-71.82600000000002
FL,US,3/3/20,2,0,0,27.9904,-82.3018
CA,US,3/3/20,2,0,0,37.563,-122.3255
OR,US,3/3/20,2,0,0,45.547,-123.1386
MA,US,3/3/20,1,0,0,42.1767,-71.1449
CA,US,3/3/20,1,0,0,37.8715,-122.273
WI,US,3/3/20,1,0,1,43.0731,-89.4012
AZ,US,3/3/20,1,0,0,33.2918,-112.4291
NC,US,3/3/20,1,0,0,35.8032,-78.5661
NY,US,3/3/20,1,0,0,41.122,-73.7949
WA,US,3/4/20,31,9,1,47.548,-121.9836
NY,US,3/4/20,10,0,0,41.122,-73.7949
WA,US,3/4/20,8,1,0,48.033,-121.8339
CA,US,3/4/20,7,0,0,34.0522,-118.2437
CA,US,3/4/20,3,0,0,33.7879,-117.8531
CA,US,3/4/20,2,1,0,39.0916,-120.8039
CA,US,3/4/20,1,0,0,37.8534,-121.9018
WA,US,3/5/20,51,10,1,47.548,-121.9836
CA,US,3/5/20,20,0,1,37.3541,-121.9552
WA,US,3/5/20,18,1,0,48.033,-121.8339
NY,US,3/5/20,18,0,0,41.122,-73.7949
CA,US,3/5/20,11,0,0,34.0522,-118.2437
IL,US,3/5/20,5,0,2,41.7377,-87.6976
NY,US,3/5/20,4,0,0,40.7128,-74.006
CA,US,3/5/20,3,0,1,32.7157,-117.1611
NJ,US,3/5/20,2,0,0,40.9263,-74.077
TX,US,3/5/20,2,0,0,29.7752,-95.3103
CA,US,3/5/20,2,0,0,37.7749,-122.4194
NV,US,3/5/20,1,0,0,36.0796,-115.094
TX,US,3/5/20,1,0,0,29.5693,-95.8143
WA,US,3/5/20,1,0,0,47.1981,-119.3732
NY,US,3/5/20,1,0,0,40.7282,-73.7949
FL,US,3/5/20,1,0,0,30.769,-86.9824
TN,US,3/5/20,1,0,0,35.9179,-86.8622
WA,US,3/6/20,58,12,1,47.548,-121.9836
WA,US,3/6/20,19,1,0,48.033,-121.8339
NY,US,3/6/20,19,0,0,41.122,-73.7949
NY,US,3/6/20,16,0,0,40.7128,-74.006
CA,US,3/6/20,13,0,0,34.0522,-118.2437
CA,US,3/6/20,5,1,0,39.0916,-120.8039
WA,US,3/6/20,5,0,0,47.7511,-120.7401
CA,US,3/6/20,3,0,0,37.8534,-121.9018
TX,US,3/6/20,3,0,0,29.7752,-95.3103
MD,US,3/6/20,3,0,0,39.1547,-77.2405
MA,US,3/6/20,3,0,1,42.3601,-71.0589
MA,US,3/6/20,2,0,0,42.1767,-71.1449
CO,US,3/6/20,2,0,0,39.7392,-104.9903
AZ,US,3/6/20,2,0,0,33.2918,-112.4291
CO,US,3/6/20,2,0,0,39.5912,-106.064
NC,US,3/6/20,1,0,0,35.7211,-79.1781
PA,US,3/6/20,1,0,0,39.9078,-75.3879
NE,US,3/6/20,1,0,0,41.3148,-96.1951
KY,US,3/6/20,1,0,0,38.0606,-84.4803
GA,US,3/6/20,1,0,0,34.2829,-85.2308
IN,US,3/6/20,1,0,0,39.8362,-86.1752
MA,US,3/6/20,1,0,0,42.4672,-71.2874
NY,US,3/6/20,1,0,0,40.6546,-73.5594
MA,US,3/6/20,1,0,0,42.1615,-70.7928
MN,US,3/6/20,1,0,0,44.9964,-93.0616
NV,US,3/6/20,1,0,0,40.5608,-119.6035
PA,US,3/6/20,1,0,0,41.6739,-75.2479
CA,US,3/6/20,1,0,0,38.7646,-121.9018
WA,US,3/7/20,71,15,1,47.548,-121.9836
NY,US,3/7/20,57,0,0,41.122,-73.7949
CA,US,3/7/20,32,0,1,37.3541,-121.9552
WA,US,3/7/20,27,1,0,48.033,-121.8339
ip,US,3/7/20,21,0,0,37.6489,-122.6655
CA,US,3/7/20,14,0,0,34.0522,-118.2437
NY,US,3/7/20,11,0,0,40.7128,-74.006
CA,US,3/7/20,9,0,0,37.7749,-122.4194
IL,US,3/7/20,6,0,2,41.7377,-87.6976
TX,US,3/7/20,5,0,0,29.7752,-95.3103
NJ,US,3/7/20,4,0,0,40.9263,-74.077
NY,US,3/7/20,4,0,0,40.6546,-73.5594
CO,US,3/7/20,3,0,0,39.2587,-104.9389
TX,US,3/7/20,3,0,0,29.5693,-95.8143
GA,US,3/7/20,3,0,0,33.8034,-84.3963
AZ,US,3/7/20,3,0,1,33.2918,-112.4291
RI,US,3/7/20,3,0,0,41.8882,-71.4774
OR,US,3/7/20,3,0,0,45.547,-123.1386
