Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
ei,Mainland China,03/01/2020,66907,2761,31536,30.9756,112.2707
ne,South Korea,03/01/2020,3736,17,30,36.0,128.0
ne,Italy,03/01/2020,1694,34,83,43.0,12.0
ng,Mainland China,03/01/2020,1349,7,1016,23.3417,113.4244
an,Mainland China,03/01/2020,1272,22,1198,33.882,113.614
ng,Mainland China,03/01/2020,1205,1,1046,29.1832,120.0934
an,Mainland China,03/01/2020,1018,4,866,27.6104,111.7088
ui,Mainland China,03/01/2020,990,6,873,31.8257,117.2264
ne,Iran,03/01/2020,978,54,175,32.0,53.0
xi,Mainland China,03/01/2020,935,1,831,27.614,115.7221
ng,Mainland China,03/01/2020,758,6,443,36.3427,118.1498
su,Mainland China,03/01/2020,631,0,536,32.9711,119.455
ng,Mainland China,03/01/2020,576,6,450,30.0572,107.874
an,Mainland China,03/01/2020,538,3,365,30.6171,102.7103
ng,Mainland China,03/01/2020,480,13,342,47.862,127.7615
ng,Mainland China,03/01/2020,413,8,276,40.1824,116.4142
ai,Mainland China,03/01/2020,337,3,290,31.202,121.4491
ei,Mainland China,03/01/2020,318,6,294,38.0428,114.5149
an,Mainland China,03/01/2020,296,1,247,26.0789,117.9874
ne,Japan,03/01/2020,256,6,32,36.0,138.0
xi,Mainland China,03/01/2020,252,2,181,23.8298,108.7881
xi,Mainland China,03/01/2020,245,1,208,35.1917,108.8701
an,Mainland China,03/01/2020,174,2,163,24.974,101.487
an,Mainland China,03/01/2020,168,5,149,19.1959,109.7453
in,Mainland China,03/01/2020,136,3,111,39.3054,117.323
xi,Mainland China,03/01/2020,133,0,116,37.5777,112.2922
ne,France,03/01/2020,130,2,12,47.0,2.0
ne,Germany,03/01/2020,130,0,16,51.0,9.0
ng,Mainland China,03/01/2020,122,1,103,41.2956,122.6085
ne,Singapore,03/01/2020,106,0,72,1.2833,103.8333
ng,Hong Kong,03/01/2020,96,2,36,22.3,114.2
in,Mainland China,03/01/2020,93,1,78,43.6661,126.1923
su,Mainland China,03/01/2020,91,2,84,36.0611,103.8343
ne,Spain,03/01/2020,84,0,2,40.0,-4.0
ng,Mainland China,03/01/2020,76,3,64,41.1129,85.2401
ia,Mainland China,03/01/2020,75,0,52,44.0935,113.9448
ne,Bahrain,03/01/2020,47,0,0,26.0275,50.55
ne,Thailand,03/01/2020,42,1,28,15.0,101.0
an,Taiwan,03/01/2020,40,1,9,23.7,121.0
ne,UK,03/01/2020,36,0,8,55.0,-3.0
ne,Malaysia,03/01/2020,29,0,18,2.5,112.5
ne,Switzerland,03/01/2020,27,0,0,46.8182,8.2275
ne,Iraq,03/01/2020,19,0,0,33.0,44.0
ne,Norway,03/01/2020,19,0,0,60.472,8.4689
ne,Austria,03/01/2020,14,0,0,47.5162,14.5501
ON,Canada,03/01/2020,14,0,2,43.6532,-79.3832
ne,Sweden,03/01/2020,14,0,0,63.0,16.0
ne,Israel,03/01/2020,10,0,1,31.0,35.0
ne,Lebanon,03/01/2020,10,0,0,33.8547,35.8623
ne,Netherlands,03/01/2020,10,0,0,52.1326,5.2913
WA,US,03/01/2020,9,1,1,47.6062,-122.3321
ne,Croatia,03/01/2020,7,0,0,45.1,15.2
ne,Greece,03/01/2020,7,0,0,39.0742,21.8243
es,Australia,03/01/2020,6,0,4,-33.8688,151.2093
ne,Ecuador,03/01/2020,6,0,0,-1.8312,-78.1834
ne,Finland,03/01/2020,6,0,1,64.0,26.0
ne,Mexico,03/01/2020,5,0,0,23.0,-102.0
ne,Denmark,03/01/2020,4,0,0,56.2639,9.5018
ne,Azerbaijan,03/01/2020,3,0,0,40.1431,47.5769
ne,Czech Republic,03/01/2020,3,0,0,49.8175,15.473
ne,Georgia,03/01/2020,3,0,0,42.3154,43.3569
ne,Iceland,03/01/2020,3,0,0,64.9631,-19.0208
ne,Qatar,03/01/2020,3,0,0,25.3548,51.1839
IL,US,03/01/2020,3,0,2,41.8781,-87.6298
ia,Australia,03/01/2020,2,1,0,-31.9505,115.8605
ne,Belgium,03/01/2020,2,0,1,50.8333,4.0
ne,Egypt,03/01/2020,2,0,1,26.0,30.0
WA,US,03/01/2020,2,0,0,48.033,-121.8339
ne,Armenia,03/01/2020,1,0,0,40.0691,45.0382
ne,Dominican Republic,03/01/2020,1,0,0,18.7357,-70.1627
ne,Ireland,03/01/2020,1,0,0,53.1424,-7.6921
ne,Luxembourg,03/01/2020,1,0,0,49.8153,6.1296
ne,San Marino,03/01/2020,1,0,0,43.9424,12.4578
RI,US,03/01/2020,1,0,0,41.824,-71.4128
ei,Mainland China,03/02/2020,67103,2803,33934,30.9756,112.2707
ne,South Korea,03/02/2020,4335,28,30,36.0,128.0
ne,Italy,03/02/2020,2036,52,149,43.0,12.0
ne,Iran,03/02/2020,1501,66,291,32.0,53.0
ng,Mainland China,03/02/2020,1350,7,1059,23.3417,113.4244
an,Mainland China,03/02/2020,1272,22,1205,33.882,113.614
ng,Mainland China,03/02/2020,1206,1,1069,29.1832,120.0934
an,Mainland China,03/02/2020,1018,4,887,27.6104,111.7088
ui,Mainland China,03/02/2020,990,6,917,31.8257,117.2264
xi,Mainland China,03/02/2020,935,1,850,27.614,115.7221
ng,Mainland China,03/02/2020,758,6,460,36.3427,118.1498
ip,Others,03/02/2020,705,6,10,35.4437,139.638
su,Mainland China,03/02/2020,631,0,543,32.9711,119.455
ng,Mainland China,03/02/2020,576,6,469,30.0572,107.874
an,Mainland China,03/02/2020,538,3,386,30.6171,102.7103
ng,Mainland China,03/02/2020,480,13,356,47.862,127.7615
ng,Mainland China,03/02/2020,414,8,282,40.1824,116.4142
ai,Mainland China,03/02/2020,337,3,292,31.202,121.4491
ei,Mainland China,03/02/2020,318,6,296,38.0428,114.5149
an,Mainland China,03/02/2020,296,1,255,26.0789,117.9874
ne,Japan,03/02/2020,274,6,32,36.0,138.0
xi,Mainland China,03/02/2020,252,2,192,23.8298,108.7881
xi,Mainland China,03/02/2020,245,1,216,35.1917,108.8701
ne,France,03/02/2020,191,3,12,47.0,2.0
an,Mainland China,03/02/2020,174,2,168,24.974,101.487
