State,Deaths,Years of Potential Life Lost Rate,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,Chlamydia Rate,% Uninsured,# Primary Care Physicians,Primary Care Physicians Rate,Preventable Hospitalization Rate,% Vaccinated,High School Graduation Rate,% Some College,% Unemployed,% Children in Poverty,Income Ratio,% Single-Parent Households,Social Association Rate,Average Daily PM2.5,% Severe Housing Problems,% Long Commute - Drives Alone
Alabama,81791.0,9943.0,4.9,4.9,21,36,5.8,30,61.0,614.1,11.0,3160.0,65.0,5805.0,41.0,89.0,60,3.9,24.0,5.3,37.0,12.4,11.0,14,34.0
Alaska,8336.0,8049.0,4.0,3.9,21,33,6.3,20,100.0,802.1,15.0,673.0,91.0,2904.0,35.0,79.0,65,6.6,15.0,4.1,30.0,11.4,12.0,21,16.0
Arizona,80394.0,7075.0,4.0,4.0,16,28,6.6,22,85.0,564.4,12.0,4663.0,66.0,3096.0,44.0,78.0,64,4.8,20.0,4.6,36.0,5.7,5.8,18,36.0
Arkansas,48017.0,9449.0,5.1,5.4,22,34,5.2,32,64.0,576.5,9.0,2000.0,67.0,5129.0,45.0,88.0,58,3.7,24.0,4.8,36.0,12.1,10.0,14,27.0
California,347916.0,5260.0,3.5,3.5,11,24,8.9,18,93.0,553.4,8.0,31343.0,79.0,3598.0,41.0,83.0,65,4.2,17.0,5.3,31.0,5.9,9.5,27,41.0
Colorado,52817.0,5944.0,3.4,3.8,15,22,8.4,16,90.0,481.4,9.0,4598.0,82.0,2833.0,48.0,81.0,72,3.3,12.0,4.4,27.0,8.8,5.1,17,36.0
Connecticut,35163.0,5674.0,3.3,3.5,13,26,8.5,20,94.0,494.7,6.0,2985.0,83.0,4117.0,53.0,88.0,69,4.1,14.0,5.1,32.0,9.5,8.0,18,34.0
Delaware,12674.0,7777.0,3.7,4.3,17,31,8.1,28,86.0,560.5,6.0,691.0,72.0,5045.0,54.0,87.0,62,3.8,18.0,4.4,37.0,10.3,9.3,15,34.0
District of Columbia,8387.0,8111.0,2.9,3.6,16,24,8.6,18,100.0,1312.3,4.0,815.0,117.0,5520.0,38.0,72.0,81,5.6,25.0,7.2,52.0,28.7,9.7,21,49.0
Florida,263456.0,7260.0,3.7,4.0,16,27,6.9,26,89.0,476.6,16.0,15216.0,73.0,5086.0,43.0,82.0,63,3.6,20.0,4.7,38.0,7.1,8.2,20,42.0
