Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
WA,US,01/22/2020,1.0,0.0,0.0
WA,US,01/23/2020,1.0,0.0,0.0
WA,US,01/24/2020,1.0,0.0,0.0
IL,US,01/24/2020,1.0,0.0,0.0
WA,US,01/25/2020,1.0,0.0,0.0
IL,US,01/25/2020,1.0,0.0,0.0
WA,US,01/26/2020,1.0,0.0,0.0
IL,US,01/26/2020,1.0,0.0,0.0
CA,US,01/26/2020,2.0,0.0,0.0
AZ,US,01/26/2020,1.0,0.0,0.0
WA,US,01/27/2020,1.0,0.0,0.0
IL,US,01/27/2020,1.0,0.0,0.0
CA,US,01/27/2020,2.0,0.0,0.0
AZ,US,01/27/2020,1.0,0.0,0.0
WA,US,01/28/2020,1.0,0.0,0.0
IL,US,01/28/2020,1.0,0.0,0.0
CA,US,01/28/2020,2.0,0.0,0.0
AZ,US,01/28/2020,1.0,0.0,0.0
WA,US,01/29/2020,1.0,0.0,0.0
IL,US,01/29/2020,1.0,0.0,0.0
CA,US,01/29/2020,2.0,0.0,0.0
AZ,US,01/29/2020,1.0,0.0,0.0
WA,US,01/30/2020,1.0,0.0,0.0
IL,US,01/30/2020,1.0,0.0,0.0
CA,US,01/30/2020,2.0,0.0,0.0
AZ,US,01/30/2020,1.0,0.0,0.0
IL,US,01/31/2020,2.0,0.0,0.0
CA,US,01/31/2020,2.0,0.0,0.0
WA,US,01/31/2020,1.0,0.0,0.0
AZ,US,01/31/2020,1.0,0.0,0.0
IL,US,02/01/2020,2.0,0.0,0.0
MA,US,02/01/2020,1.0,0.0,0.0
CA,US,02/01/2020,1.0,0.0,0.0
CA,US,02/01/2020,1.0,0.0,0.0
CA,US,02/01/2020,1.0,0.0,0.0
WA,US,02/01/2020,1.0,0.0,0.0
AZ,US,02/01/2020,1.0,0.0,0.0
CA,US,02/03/2020,2.0,0.0,0.0
CA,US,02/03/2020,2.0,0.0,0.0
WI,US,02/05/2020,1.0,0.0,0.0
IL,US,02/09/2020,2.0,0.0,2.0
WA,US,02/09/2020,1.0,0.0,1.0
CA,US,02/11/2020,1.0,0.0,0.0
CA,US,02/13/2020,2.0,0.0,0.0
TX,US,02/13/2020,1.0,0.0,0.0
NE,US,02/21/2020,11.0,0.0,0.0
CA,US,02/21/2020,5.0,0.0,0.0
TX,US,02/21/2020,2.0,0.0,0.0
CA,US,02/21/2020,2.0,0.0,1.0
CA,US,02/21/2020,2.0,0.0,1.0
CA,US,02/21/2020,1.0,0.0,0.0
CA,US,02/21/2020,1.0,0.0,0.0
NE,US,02/22/2020,11.0,0.0,0.0
CA,US,02/22/2020,5.0,0.0,0.0
TX,US,02/22/2020,2.0,0.0,0.0
TX,US,02/24/2020,0.0,0.0,0.0
NE,US,02/24/2020,0.0,0.0,0.0
CA,US,02/24/2020,0.0,0.0,0.0
AZ,US,02/25/2020,1.0,0.0,1.0
CA,US,02/27/2020,2.0,0.0,0.0
MA,US,02/28/2020,1.0,0.0,1.0
WA,US,02/29/2020,6.0,1.0,1.0
CA,US,02/29/2020,3.0,0.0,1.0
OR,US,02/29/2020,1.0,0.0,0.0
WA,US,02/29/2020,1.0,0.0,0.0
WA,US,03/01/2020,9.0,1.0,1.0
IL,US,03/01/2020,3.0,0.0,2.0
WA,US,03/01/2020,2.0,0.0,0.0
RI,US,03/01/2020,1.0,0.0,0.0
WA,US,03/02/2020,14.0,5.0,1.0
CA,US,03/02/2020,9.0,0.0,1.0
IL,US,03/02/2020,4.0,0.0,2.0
WA,US,03/02/2020,4.0,1.0,0.0
OR,US,03/02/2020,2.0,0.0,0.0
RI,US,03/02/2020,2.0,0.0,0.0
NH,US,03/02/2020,1.0,0.0,0.0
FL,US,03/02/2020,1.0,0.0,0.0
NY,US,03/02/2020,1.0,0.0,0.0
CA,US,03/02/2020,1.0,0.0,0.0
CA,US,03/02/2020,1.0,0.0,0.0
FL,US,03/02/2020,1.0,0.0,0.0
CA,US,03/02/2020,1.0,0.0,0.0
OR,US,03/02/2020,1.0,0.0,0.0
WA,US,03/03/2020,21.0,6.0,1.0
CA,US,03/03/2020,11.0,0.0,1.0
WA,US,03/03/2020,6.0,1.0,0.0
GA,US,03/03/2020,2.0,0.0,0.0
NH,US,03/03/2020,2.0,0.0,0.0
FL,US,03/03/2020,2.0,0.0,0.0
CA,US,03/03/2020,2.0,0.0,0.0
OR,US,03/03/2020,2.0,0.0,0.0
MA,US,03/03/2020,1.0,0.0,0.0
CA,US,03/03/2020,1.0,0.0,0.0
WI,US,03/03/2020,1.0,0.0,1.0
AZ,US,03/03/2020,1.0,0.0,0.0
NC,US,03/03/2020,1.0,0.0,0.0
NY,US,03/03/2020,1.0,0.0,0.0
WA,US,03/04/2020,31.0,9.0,1.0
NY,US,03/04/2020,10.0,0.0,0.0
WA,US,03/04/2020,8.0,1.0,0.0
CA,US,03/04/2020,7.0,0.0,0.0
CA,US,03/04/2020,3.0,0.0,0.0
CA,US,03/04/2020,2.0,1.0,0.0
CA,US,03/04/2020,1.0,0.0,0.0
WA,US,03/05/2020,51.0,10.0,1.0
CA,US,03/05/2020,20.0,0.0,1.0
WA,US,03/05/2020,18.0,1.0,0.0
NY,US,03/05/2020,18.0,0.0,0.0
CA,US,03/05/2020,11.0,0.0,0.0
IL,US,03/05/2020,5.0,0.0,2.0
NY,US,03/05/2020,4.0,0.0,0.0
CA,US,03/05/2020,3.0,0.0,1.0
NJ,US,03/05/2020,2.0,0.0,0.0
TX,US,03/05/2020,2.0,0.0,0.0
CA,US,03/05/2020,2.0,0.0,0.0
NV,US,03/05/2020,1.0,0.0,0.0
TX,US,03/05/2020,1.0,0.0,0.0
WA,US,03/05/2020,1.0,0.0,0.0
NY,US,03/05/2020,1.0,0.0,0.0
FL,US,03/05/2020,1.0,0.0,0.0
TN,US,03/05/2020,1.0,0.0,0.0
WA,US,03/06/2020,58.0,12.0,1.0
WA,US,03/06/2020,19.0,1.0,0.0
NY,US,03/06/2020,19.0,0.0,0.0
NY,US,03/06/2020,16.0,0.0,0.0
CA,US,03/06/2020,13.0,0.0,0.0
CA,US,03/06/2020,5.0,1.0,0.0
WA,US,03/06/2020,5.0,0.0,0.0
CA,US,03/06/2020,3.0,0.0,0.0
TX,US,03/06/2020,3.0,0.0,0.0
MD,US,03/06/2020,3.0,0.0,0.0
MA,US,03/06/2020,3.0,0.0,1.0
MA,US,03/06/2020,2.0,0.0,0.0
CO,US,03/06/2020,2.0,0.0,0.0
AZ,US,03/06/2020,2.0,0.0,0.0
CO,US,03/06/2020,2.0,0.0,0.0
NC,US,03/06/2020,1.0,0.0,0.0
PA,US,03/06/2020,1.0,0.0,0.0
NE,US,03/06/2020,1.0,0.0,0.0
KY,US,03/06/2020,1.0,0.0,0.0
GA,US,03/06/2020,1.0,0.0,0.0
IN,US,03/06/2020,1.0,0.0,0.0
MA,US,03/06/2020,1.0,0.0,0.0
NY,US,03/06/2020,1.0,0.0,0.0
MA,US,03/06/2020,1.0,0.0,0.0
MN,US,03/06/2020,1.0,0.0,0.0
NV,US,03/06/2020,1.0,0.0,0.0
PA,US,03/06/2020,1.0,0.0,0.0
CA,US,03/06/2020,1.0,0.0,0.0
WA,US,03/07/2020,71.0,15.0,1.0
NY,US,03/07/2020,57.0,0.0,0.0
CA,US,03/07/2020,32.0,0.0,1.0
WA,US,03/07/2020,27.0,1.0,0.0
CA,US,03/07/2020,14.0,0.0,0.0
NY,US,03/07/2020,11.0,0.0,0.0
CA,US,03/07/2020,9.0,0.0,0.0
IL,US,03/07/2020,6.0,0.0,2.0
